"","time","x3fga","x3fgm","x3fg_perc"
"185",184,119,42,0.352941176470588
"186",185,120,39,0.325
"187",186,114,35,0.307017543859649
"188",187,116,43,0.370689655172414
"189",188,111,36,0.324324324324324
"190",189,112,33,0.294642857142857
"191",190,100,37,0.37
"192",191,118,37,0.313559322033898
"193",192,125,35,0.28
"194",193,122,46,0.377049180327869
"195",194,109,45,0.412844036697248
"196",195,116,38,0.327586206896552
"197",196,115,37,0.321739130434783
"198",197,126,48,0.380952380952381
"199",198,121,33,0.272727272727273
"200",199,121,48,0.396694214876033
"201",200,107,37,0.345794392523364
"202",201,112,32,0.285714285714286
"203",202,125,42,0.336
"204",203,132,44,0.333333333333333
"205",204,107,40,0.373831775700935
"206",205,116,41,0.353448275862069
"207",206,100,32,0.32
"208",207,123,42,0.341463414634146
"209",208,106,38,0.358490566037736
"210",209,100,41,0.41
"211",210,128,45,0.3515625
"212",211,111,41,0.369369369369369
"213",212,98,31,0.316326530612245
"214",213,119,45,0.378151260504202
"215",214,110,44,0.4
"216",215,111,38,0.342342342342342
"217",216,120,45,0.375
"218",217,120,38,0.316666666666667
"219",218,114,34,0.298245614035088
"220",219,118,34,0.288135593220339
"221",220,113,44,0.389380530973451
"222",221,105,36,0.342857142857143
"223",222,115,34,0.295652173913043
"224",223,117,41,0.35042735042735
"225",224,125,39,0.312
"226",225,120,39,0.325
"227",226,116,31,0.267241379310345
"228",227,119,37,0.310924369747899
"229",228,112,46,0.410714285714286
"230",229,91,24,0.263736263736264
"231",230,114,38,0.333333333333333
"232",231,107,41,0.383177570093458
"233",232,113,44,0.389380530973451
"234",233,104,34,0.326923076923077
"235",234,103,45,0.436893203883495
"236",235,103,24,0.233009708737864
"237",236,121,42,0.347107438016529
"238",237,100,39,0.39
"239",238,118,46,0.389830508474576
"240",239,107,34,0.317757009345794
"241",240,108,40,0.37037037037037
"242",241,121,35,0.289256198347107
"243",242,133,42,0.315789473684211
"244",243,119,36,0.302521008403361
"245",244,120,50,0.416666666666667
"246",245,114,45,0.394736842105263
"247",246,109,41,0.376146788990826
"248",247,118,36,0.305084745762712
"249",248,122,45,0.368852459016393
"250",249,105,43,0.40952380952381
"251",250,123,45,0.365853658536585
"252",251,138,54,0.391304347826087
"253",252,88,34,0.386363636363636
"254",253,113,34,0.300884955752212
"255",254,107,36,0.336448598130841
"256",255,97,39,0.402061855670103
"257",256,108,34,0.314814814814815
"258",257,119,37,0.310924369747899
"259",258,120,38,0.316666666666667
"260",259,95,37,0.389473684210526
"261",260,122,44,0.360655737704918
"262",261,96,38,0.395833333333333
"263",262,110,40,0.363636363636364
"264",263,107,41,0.383177570093458
"265",264,105,37,0.352380952380952
"266",265,127,40,0.31496062992126
"267",266,127,41,0.322834645669291
"268",267,115,48,0.417391304347826
"269",268,110,51,0.463636363636364
"270",269,102,33,0.323529411764706
"271",270,111,35,0.315315315315315
"272",271,114,35,0.307017543859649
"273",272,117,44,0.376068376068376
"274",273,101,40,0.396039603960396
"275",274,104,47,0.451923076923077
"276",275,98,36,0.36734693877551
"277",276,110,40,0.363636363636364
"278",277,99,32,0.323232323232323
"279",278,136,43,0.316176470588235
"280",279,98,30,0.306122448979592
"281",280,114,51,0.447368421052632
"282",281,90,29,0.322222222222222
"283",282,110,46,0.418181818181818
"284",283,113,42,0.371681415929204
"285",284,107,32,0.299065420560748
"286",285,157,63,0.401273885350318
"287",286,112,30,0.267857142857143
"288",287,105,38,0.361904761904762
"289",288,92,34,0.369565217391304
"290",289,96,32,0.333333333333333
"291",290,75,18,0.24
"292",291,104,40,0.384615384615385
"293",292,88,31,0.352272727272727
"294",293,96,34,0.354166666666667
"295",294,99,34,0.343434343434343
"296",295,107,33,0.308411214953271
"297",296,104,36,0.346153846153846
"298",297,102,36,0.352941176470588
"299",298,101,32,0.316831683168317
"300",299,102,34,0.333333333333333
